osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,11634198266,18.0916599,83.389365,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,11698529211,25.2809375,82.9862242,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,11725273103,10.3679019,76.3001892,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,11951455078,27.4837297,95.3935172,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,11990117928,17.560415,80.6118517,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,12027975908,26.0949396,91.7861321,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12102006779,22.2327932,70.7889781,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,12150999931,23.8245637,78.6850051,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,12171240927,28.2057348,77.2120458,warehouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,12189086856,9.6997484,76.3503167,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12397227447,18.1175514,83.4210615,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,12596289553,19.0908123,78.3456052,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12596659610,10.037466,76.3407119,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12655151041,10.0614291,76.3639339,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12698411271,28.5541847,77.0529077,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,12898573748,21.9055582,84.0285324,oil,industrial,,,,,,,,,industrial-types.osm.pbf
node,12913861423,13.0034437,77.5114274,depot,industrial,,,,,,,,Warehouse,industrial-types.osm.pbf
node,12993649415,16.5074561,80.6785912,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,12993650736,16.5080457,80.6761871,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,13020101933,11.692103,75.7988348,grinding_mill,,,works,,flour;oil,,,,,industrial-types.osm.pbf
node,13144484737,18.7285304,73.8597723,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13144484738,18.7293443,73.9904827,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13144484739,18.7219171,73.9881636,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13146724911,28.7140702,77.1720676,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13287684677,9.9171406,78.1046358,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13287684679,9.9174329,78.1003469,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13358595775,16.9989861,79.9302114,brickyard,industrial,,,,,,,,,industrial-types.osm.pbf
node,13360642160,16.9955838,79.928996,rice_mill,,,,industrial,,,,,,industrial-types.osm.pbf
node,13382602625,24.4200708,85.5323777,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,13570374434,10.5665608,76.2852955,concrete_plant,industrial,,works,,concrete,,,,,industrial-types.osm.pbf
node,13664629507,18.0014596,79.5568398,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13684375693,17.6567564,78.6213536,factory,,,,,,,,,,industrial-types.osm.pbf
node,13684375695,17.6557678,78.6175621,Pharmaceutical company,,,,,,,,,,industrial-types.osm.pbf
node,13684375696,17.6563198,78.617605,Pharmaceutical company,,,,,,,,,,industrial-types.osm.pbf
node,13684375697,17.6574188,78.617192,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684375698,17.6575466,78.6166663,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684375699,17.6574731,78.6140613,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
